334;Общий уход~Наращивание ногтей~гелиевый маникюр
333;Общий уход~Наращивание ногтей~плоскостной дизайн нат. ногтя
323;Руки~Маникюр~классический
336;Руки~Маникюр~мужской
339;Руки~Маникюр~европейский
338;Руки~Маникюр~комбинированный
335;Руки~Маникюр~SPA-маникюр на косметике OPI
325;Руки~Уход за руками~маска
326;Руки~Уход за руками~массаж
343;Руки~Уход за руками~пилинг
350;Руки~Уход за руками~снятие лака
344;Руки~Уход за руками~парафинотерапия
340;Руки~Уход за руками~шлифовка ногтей
351;Руки~Уход за руками~снятие гель-лака
483;Руки~Уход за руками~придание формы ногтям
486;Руки~Уход за руками~ремонт одного ногтя шелком
484;Руки~Уход за руками~покрытие ногтей гель-лаком
342;Руки~Уход за руками~запечатывание ногтей по маслу
345;Руки~Уход за руками~лечебное покрытие косметикой OPI
485;Руки~Уход за руками~покрытие ногтей гель-лаком френч
347;Руки~Уход за руками~покрытие ногтей лаком в стиле френч
346;Руки~Уход за руками~покрытие ногтей лаком косметики OPI
348;Руки~Уход за руками~покрытие ногтей GelColor косметикой OPI
349;Руки~Уход за руками~покрытие ногтей GelColor косметикой OPI френч
